ID	Species	Site	State	SpecificRegion	GeneralRegion	S_W_N	Year	Season	Sex	Eggs
AO_F21_QUFL_3	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2021	Fall	FM	yes
AO_F21_QUFL_9	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2021	Fall	M	no
AO_F21_SHFL_1	Allograpta obliqua	Shalimar_FL	FL	FL	Southeast	South	2021	Fall	M	no
AO_F21_SHFL_2	Allograpta obliqua	Shalimar_FL	FL	FL	Southeast	South	2021	Fall	M	no
AO_F21_SHFL_3	Allograpta obliqua	Shalimar_FL	FL	FL	Southeast	South	2021	Fall	FM	no
AO_F21_SLKY_2	Allograpta obliqua	Salt Lick_KY	KY	WestApps	Southeast	North	2021	Fall	M	no
AO_F21_SLKY_3	Allograpta obliqua	Salt Lick_KY	KY	WestApps	Southeast	North	2021	Fall	M	no
AO_F21_SLKY_4	Allograpta obliqua	Salt Lick_KY	KY	WestApps	Southeast	North	2021	Fall	FM	no
AO_F21_STMS_4	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	FM	no
AO_F21_STMS_6	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	FM	yes
AO_F21_STMS_7	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	M	no
AO_F21_STMS_8	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	M	no
AO_F21_SUVA_5	Allograpta obliqua	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	M	no
AO_F21_SUVA_6	Allograpta obliqua	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	FM	no
AO_F21_SUVA_7	Allograpta obliqua	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	FM	yes
AO_F21_TIGA_1	Allograpta obliqua	Tifton_GA	GA	EastApps	Southeast	South	2021	Fall	FM	no
AO_F21_TIGA_4	Allograpta obliqua	Tifton_GA	GA	EastApps	Southeast	South	2021	Fall	M	no
AO_F21_TIGA_9	Allograpta obliqua	Tifton_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes
AO_F21_TYGA_1	Allograpta obliqua	Tyty_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes
AO_F21_TYGA_2	Allograpta obliqua	Tyty_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes
AO_F21_URIL_1	Allograpta obliqua	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	FM	no
AO_F21_URIL_3	Allograpta obliqua	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	M	no
AO_F21_URIL_4	Allograpta obliqua	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	FM	no
AO_F22_ARTX_1	Allograpta obliqua	Arlington_TX	TX	TX	TX	South	2022	Fall	M	no
AO_F22_ARTX_2	Allograpta obliqua	Arlington_TX	TX	TX	TX	South	2022	Fall	M	no
AO_F22_ARTX_3	Allograpta obliqua	Arlington_TX	TX	TX	TX	South	2022	Fall	FM	no
AO_F22_ATAL_6	Allograpta obliqua	Athens_AL	AL	WestApps	Southeast	South	2022	Fall	FM	yes
AO_F22_ATAL_7	Allograpta obliqua	Athens_AL	AL	WestApps	Southeast	South	2022	Fall	FM	no
AO_F22_BRSD_1	Allograpta obliqua	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	M	no
AO_F22_BRSD_2	Allograpta obliqua	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	M	no
AO_F22_BRSD_3	Allograpta obliqua	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	FM	yes
AO_F22_BRSD_4	Allograpta obliqua	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	FM	yes
AO_F22_CECA_1	Allograpta obliqua	Camp_Eaton_CA	CA	FarWest	Southwest	West	2022	Fall	M	no
AO_F22_CECA_2	Allograpta obliqua	Camp_Eaton_CA	CA	FarWest	Southwest	West	2022	Fall	M	no
AO_F22_CECA_3	Allograpta obliqua	Camp_Eaton_CA	CA	FarWest	Southwest	West	2022	Fall	M	no
AO_F22_CECA_4	Allograpta obliqua	Camp_Eaton_CA	CA	FarWest	Southwest	West	2022	Fall	M	no
AO_F22_DEMD_1	Allograpta obliqua	Derwood_MD	MD	EastApps	Northeast	North	2022	Fall	FM	no
AO_F22_EPTX_1	Allograpta obliqua	El_Paso_TX	TX	FarWest	Southwest	West	2022	Fall	M	no
AO_F22_EPTX_2	Allograpta obliqua	El_Paso_TX	TX	FarWest	Southwest	West	2022	Fall	M	no
AO_F22_EPTX_3	Allograpta obliqua	El_Paso_TX	TX	FarWest	Southwest	West	2022	Fall	M	no
AO_F22_EPTX_4	Allograpta obliqua	El_Paso_TX	TX	FarWest	Southwest	West	2022	Fall	M	no
AO_F22_FWTX_1	Allograpta obliqua	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	FM	no
AO_F22_FWTX_2	Allograpta obliqua	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	M	no
AO_F22_FWTX_3	Allograpta obliqua	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	FM	no
AO_F22_METN_1	Allograpta obliqua	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	M	no
AO_F22_METN_2	Allograpta obliqua	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	M	no
AO_F22_METN_3	Allograpta obliqua	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	M	no
AO_F22_STMS_1	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2022	Fall	FM	no
AO_F22_STMS_2	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2022	Fall	M	no
AO_F22_STMS_3	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2022	Fall	FM	no
AO_S22_ATAL_1	Allograpta obliqua	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes
AO_S22_ATAL_2	Allograpta obliqua	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes
AO_S22_ATAL_3	Allograpta obliqua	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes
AO_S22_ATGA_1	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	FM	no
AO_S22_ATGA_2	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	M	no
AO_S22_ATGA_3	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	FM	no
AO_S22_CIFL_1	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2022	Spring	M	no
AO_S22_CIFL_2	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2022	Spring	M	no
AO_S22_CIFL_3	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2022	Spring	M	no
AO_S22_QUFL_1	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2022	Spring	FM	yes
AO_S22_QUFL_2	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2022	Spring	FM	yes
AO_S22_QUFL_3	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2022	Spring	FM	yes
AO_S22_TAAL_1	Allograpta obliqua	Tallassee_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes
AO_S22_TAAL_2	Allograpta obliqua	Tallassee_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes
AO_S22_TAAL_3	Allograpta obliqua	Tallassee_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes
AO_S22_TIGA_1	Allograpta obliqua	Tifton_GA	GA	FL	Southeast	South	2022	Spring	FM	no
AO_S22_TIGA_2	Allograpta obliqua	Tifton_GA	GA	FL	Southeast	South	2022	Spring	FM	yes
AO_S22_TIGA_3	Allograpta obliqua	Tifton_GA	GA	FL	Southeast	South	2022	Spring	FM	yes
EA_F21_APFL_1	Eupeodes americanus	Apopka_FL	FL	FL	Southeast	South	2021	Fall	FM	no
EA_F21_AT2AL_1	Eupeodes americanus	Athens_AL 2	AL	WestApps	Southeast	South	2021	Fall	M	no
EA_F21_AT2AL_2	Eupeodes americanus	Athens_AL 2	AL	WestApps	Southeast	South	2021	Fall	FM	no
EA_F21_ATAL_4	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2021	Fall	FM	some
EA_F21_ATAL_7	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2021	Fall	FM	yes
EA_F21_ATAL_9	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2021	Fall	M	no
EA_F21_ATGA_1	Eupeodes pomus	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes
EA_F21_ATGA_2	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes
EA_F21_ATGA_4	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	FM	no
EA_F21_ATGA_7	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	M	no
EA_F21_AUAL_10	Eupeodes americanus	Auburn_AL	AL	WestApps	Southeast	South	2021	Fall	M	no
EA_F21_AUAL_6	Eupeodes americanus	Auburn_AL	AL	WestApps	Southeast	South	2021	Fall	FM	no
EA_F21_AUAL_8	Eupeodes americanus	Auburn_AL	AL	WestApps	Southeast	South	2021	Fall	FM	yes
EA_F21_CIFL_1	Eupeodes americanus	Citra_FL	FL	FL	Southeast	South	2021	Fall	FM	yes
EA_F21_CIFL_2	Eupeodes americanus	Citra_FL	FL	FL	Southeast	South	2021	Fall	FM	yes
EA_F21_CIFL_3	Eupeodes americanus	Citra_FL	FL	FL	Southeast	South	2021	Fall	FM	yes
EA_F21_GUON_1	Eupeodes pomus	Guelph_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	no
EA_F21_GUON_2	Eupeodes americanus	Guelph_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	no
EA_F21_GUON_3	Eupeodes americanus	Guelph_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	yes
EA_F21_GUON_6	Eupeodes americanus	Guelph_ONT	ONT	EastCAN	Midwest	North	2021	Fall	M	no
EA_F21_PDSC_1	Eupeodes americanus	Pee_Dee_SC	SC	EastApps	Southeast	South	2021	Fall	FM	no
EA_F21_PDSC_2	Eupeodes americanus	Pee_Dee_SC	SC	EastApps	Southeast	South	2021	Fall	FM	yes
EA_F21_PDSC_3	Eupeodes americanus	Pee_Dee_SC	SC	EastApps	Southeast	South	2021	Fall	FM	yes
EA_F21_PRON_2	Eupeodes americanus	Port_Rowan_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	no
EA_F21_PRON_3	Eupeodes americanus	Port_Rowan_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	no
EA_F21_PRON_4	Eupeodes americanus	Port_Rowan_ONT	ONT	EastCAN	Midwest	North	2021	Fall	M	no
EA_F21_QUFL_1	Eupeodes americanus	Quincy_FL	FL	FL	Southeast	South	2021	Fall	FM	yes
EA_F21_QUFL_2	Eupeodes americanus	Quincy_FL	FL	FL	Southeast	South	2021	Fall	FM	yes
EA_F21_QUFL_3	Eupeodes americanus	Quincy_FL	FL	FL	Southeast	South	2021	Fall	FM	yes
EA_F21_STMS_1	Eupeodes americanus	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	FM	yes
EA_F21_STMS_10	Eupeodes americanus	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	M	no
EA_F21_STMS_2	Eupeodes americanus	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	FM	yes
EA_F21_STMS_3	Eupeodes americanus	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	FM	no
EA_F21_SUVA_1	Eupeodes americanus	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	FM	no
EA_F21_SUVA_2	Eupeodes americanus	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	FM	yes
EA_F21_SUVA_3	Eupeodes americanus	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	FM	yes
EA_F21_TIGA_1	Eupeodes americanus	Tifton_GA	GA	FL	Southeast	South	2021	Fall	FM	yes
EA_F21_TIGA_2	Eupeodes americanus	Tifton_GA	GA	FL	Southeast	South	2021	Fall	FM	yes
EA_F21_TIGA_3	Eupeodes americanus	Tifton_GA	GA	FL	Southeast	South	2021	Fall	FM	no
EA_F21_URIL_1	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	FM	yes
EA_F21_URIL_2	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	FM	no
EA_F21_URIL_3	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	FM	no
EA_F21_URIL_6	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	M	no
EA_F22_ARTX_1	Eupeodes americanus	Arlington_TX	TX	TX	TX	South	2022	Fall	FM	no
EA_F22_ARTX_2	Eupeodes americanus	Arlington_TX	TX	TX	TX	South	2022	Fall	M	no
EA_F22_ARTX_3	Eupeodes americanus	Arlington_TX	TX	TX	TX	South	2022	Fall	FM	no
EA_F22_ARWI_1	Eupeodes americanus	Arlington_WI	WI	Midwest	Midwest	North	2022	Fall	FM	yes
EA_F22_ARWI_2	Eupeodes americanus	Arlington_WI	WI	Midwest	Midwest	North	2022	Fall	FM	no
EA_F22_ARWI_3	Eupeodes americanus	Arlington_WI	WI	Midwest	Midwest	North	2022	Fall	FM	no
EA_F22_ATAL_1	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2022	Fall	FM	no
EA_F22_ATAL_3	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2022	Fall	FM	yes
EA_F22_ATGA_11	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2022	Fall	FM	yes
EA_F22_ATGA_12	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2022	Fall	FM	yes
EA_F22_BRSD_1	Eupeodes americanus	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	FM	yes
EA_F22_BRSD_2	Eupeodes americanus	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	FM	no
EA_F22_BRSD_3	Eupeodes americanus	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	FM	yes
EA_F22_CHIL_1	Eupeodes americanus	Chicago_IL	IL	Midwest	Midwest	North	2022	Fall	FM	no
EA_F22_CHIL_2	Eupeodes americanus	Chicago_IL	IL	Midwest	Midwest	North	2022	Fall	FM	yes
EA_F22_CLMN_1	Eupeodes americanus	Crane_Lake_MN	MN	WestCAN	FarNorth	North	2022	Fall	FM	yes
EA_F22_DEMD_1	Eupeodes americanus	Derwood_MD	MD	EastApps	Northeast	North	2022	Fall	M	no
EA_F22_DEMD_2	Eupeodes americanus	Derwood_MD	MD	EastApps	Northeast	North	2022	Fall	FM	no
EA_F22_DRON_1	Eupeodes americanus	Dryden_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	FM	no
EA_F22_DRON_2	Eupeodes americanus	Dryden_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	FM	no
EA_F22_DRON_3	Eupeodes americanus	Dryden_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	FM	no
EA_F22_FWTX_1	Eupeodes americanus	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	FM	no
EA_F22_FWTX_2	Eupeodes americanus	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	FM	yes
EA_F22_FWTX_3	Eupeodes americanus	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	FM	no
EA_F22_KEON_1	Eupeodes americanus	Kenora_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	FM	no
EA_F22_KEON_2	Eupeodes americanus	Kenora_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	M	no
EA_F22_KEON_3	Eupeodes americanus	Kenora_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	M	no
EA_F22_METN_1	Eupeodes americanus	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	FM	no
EA_F22_METN_2	Eupeodes americanus	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	FM	yes
EA_F22_METN_3	Eupeodes americanus	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	FM	yes
EA_F22_MNIL_1	Eupeodes americanus	Monticello_IL	IL	Midwest	Midwest	North	2022	Fall	M	no
EA_F22_STMS_1	Eupeodes americanus	Stoneville_MS	MS	WestApps	Southeast	South	2022	Fall	FM	yes
EA_F22_STMS_2	Eupeodes americanus	Stoneville_MS	MS	WestApps	Southeast	South	2022	Fall	FM	yes
EA_F22_SUVA_1	Eupeodes americanus	Suffolk_VA	VA	EastApps	Northeast	North	2022	Fall	FM	yes
EA_F22_SUVA_2	Eupeodes americanus	Suffolk_VA	VA	EastApps	Northeast	North	2022	Fall	FM	yes
EA_F22_URIL_1	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2022	Fall	FM	yes
EA_F22_URIL_2	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2022	Fall	FM	yes
EA_F22_WIVA_1	Eupeodes americanus	Windchester_VA	VA	EastApps	Northeast	North	2022	Fall	M	no
EA_F22_WIVA_2	Eupeodes americanus	Windchester_VA	VA	EastApps	Northeast	North	2022	Fall	M	no
EA_F22_WIVA_3	Eupeodes americanus	Windchester_VA	VA	EastApps	Northeast	North	2022	Fall	M	no
EA_S22_ATAL_1	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	M	no
EA_S22_ATAL_2	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	FM	no
EA_S22_ATAL_3	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	M	no
EA_S22_ATGA_1	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	M	no
EA_S22_ATGA_2	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	FM	yes
EA_S22_ATGA_3	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	M	no
